RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
2691,338,El Dorado County,County,CA,CA,6,17,622753.0,625665.0,627562.0,626240.0,627639.0,629389.0,632722.0,632620.0,630108.0,628239.0,625885.0,624520.0,4 bedroom
1380,348,Shasta County,County,CA,CA,6,89,371163.0,373841.0,376094.0,376963.0,378850.0,383347.0,386806.0,388096.0,387403.0,386608.0,385944.0,385407.0,4 bedroom
2354,352,Imperial County,County,CA,CA,6,25,217131.0,217003.0,217595.0,219495.0,221084.0,222757.0,223459.0,223113.0,221013.0,219561.0,219276.0,220968.0,4 bedroom
580,407,Kings County,County,CA,CA,6,31,279251.0,279550.0,279894.0,279423.0,280051.0,280784.0,281217.0,280894.0,280900.0,281349.0,282407.0,284056.0,4 bedroom
1156,413,Madera County,County,CA,CA,6,39,314344.0,314382.0,315064.0,315780.0,317777.0,319443.0,320942.0,321913.0,323419.0,324224.0,325409.0,327480.0,4 bedroom
255,453,Napa County,County,CA,CA,6,55,799368.0,804533.0,804956.0,800584.0,796056.0,793380.0,792118.0,788470.0,786584.0,783254.0,782443.0,779947.0,4 bedroom
2351,457,Humboldt County,County,CA,CA,6,23,419269.0,419368.0,420005.0,421688.0,422440.0,422690.0,420007.0,419271.0,418397.0,419553.0,419890.0,418891.0,4 bedroom
1261,588,Nevada County,County,CA,CA,6,57,689799.0,688500.0,690835.0,698977.0,704895.0,705561.0,701213.0,695705.0,690936.0,687019.0,685054.0,686024.0,4 bedroom
1415,607,Sutter County,County,CA,CA,6,101,374435.0,376343.0,376019.0,375885.0,376548.0,381466.0,384002.0,389189.0,392189.0,396780.0,397416.0,398131.0,4 bedroom
2796,645,Mendocino County,County,CA,CA,6,45,635557.0,636628.0,631768.0,628738.0,624468.0,621635.0,615897.0,610244.0,607723.0,608199.0,604853.0,602029.0,4 bedroom
346,743,Yuba County,County,CA,CA,6,115,321151.0,323101.0,324394.0,325285.0,326542.0,329301.0,332595.0,335923.0,336815.0,337803.0,338915.0,341371.0,4 bedroom
217,808,Lake County,County,CA,CA,6,33,385581.0,385248.0,384094.0,382335.0,381505.0,378689.0,379074.0,378898.0,381223.0,380292.0,379062.0,377019.0,4 bedroom
1426,820,Tehama County,County,CA,CA,6,103,299943.0,301210.0,304377.0,307910.0,310570.0,311886.0,312199.0,313597.0,314943.0,316745.0,317943.0,319143.0,4 bedroom
2584,904,Tuolumne County,County,CA,CA,6,109,392704.0,395400.0,398410.0,400944.0,401784.0,402103.0,401374.0,399509.0,397075.0,395217.0,394094.0,393711.0,4 bedroom
3020,907,San Benito County,County,CA,CA,6,69,705147.0,695497.0,691177.0,694991.0,699923.0,702285.0,703251.0,701166.0,700744.0,697602.0,697393.0,699989.0,4 bedroom
2643,1055,Calaveras County,County,CA,CA,6,9,448823.0,450785.0,451716.0,450808.0,451083.0,452969.0,454555.0,455708.0,451621.0,452078.0,451366.0,455466.0,4 bedroom
2548,1069,Siskiyou County,County,CA,CA,6,93,287386.0,287696.0,288314.0,288944.0,289999.0,291184.0,291655.0,291674.0,291180.0,291480.0,291422.0,291600.0,4 bedroom
829,1214,Amador County,County,CA,CA,6,5,463655.0,464015.0,464274.0,465001.0,465913.0,466659.0,467621.0,468913.0,470598.0,471171.0,470823.0,470176.0,4 bedroom
1143,1301,Lassen County,County,CA,CA,6,35,258667.0,258755.0,258741.0,259070.0,259674.0,260030.0,260014.0,260122.0,260503.0,260845.0,260641.0,260395.0,4 bedroom
2678,1469,Del Norte County,County,CA,CA,6,15,330451.0,332539.0,334067.0,336133.0,336675.0,338072.0,339414.0,340928.0,341979.0,342047.0,342111.0,341973.0,4 bedroom
524,1491,Glenn County,County,CA,CA,6,21,289880.0,291155.0,292023.0,293338.0,294844.0,296665.0,297638.0,298175.0,298490.0,299570.0,300314.0,300745.0,4 bedroom
952,1765,Colusa County,County,CA,CA,6,11,318069.0,319359.0,320517.0,321510.0,322737.0,323960.0,324693.0,324972.0,325423.0,326428.0,327114.0,327553.0,4 bedroom
1329,1837,Plumas County,County,CA,CA,6,63,388535.0,389087.0,390217.0,390805.0,391956.0,392825.0,391962.0,390277.0,388802.0,388869.0,388675.0,388283.0,4 bedroom
188,1895,Inyo County,County,CA,CA,6,27,452694.0,453197.0,453845.0,455059.0,457214.0,459937.0,457937.0,455117.0,451896.0,453009.0,453436.0,453154.0,4 bedroom
2403,1911,Mariposa County,County,CA,CA,6,43,412818.0,413061.0,414115.0,414742.0,416712.0,418458.0,418312.0,417790.0,417006.0,417613.0,417210.0,416803.0,4 bedroom
253,2158,Mono County,County,CA,CA,6,51,842834.0,843544.0,844064.0,845954.0,846932.0,849156.0,850603.0,852683.0,854262.0,856678.0,857883.0,858414.0,4 bedroom
2056,2200,Trinity County,County,CA,CA,6,105,339278.0,338885.0,337868.0,338151.0,338573.0,339682.0,338687.0,338611.0,337985.0,339472.0,340267.0,341122.0,4 bedroom
647,2460,Modoc County,County,CA,CA,6,49,192713.0,193095.0,193419.0,194019.0,194501.0,194617.0,194227.0,193825.0,193280.0,192962.0,192745.0,192272.0,4 bedroom
1391,2957,Sierra County,County,CA,CA,6,91,305708.0,307375.0,307190.0,308090.0,308474.0,308516.0,308413.0,310504.0,314191.0,314720.0,314478.0,312034.0,4 bedroom
828,3098,Alpine County,County,CA,CA,6,3,601413.0,602472.0,601697.0,600900.0,600885.0,601566.0,600125.0,598316.0,596552.0,597449.0,598406.0,598872.0,4 bedroom
3101,0,Los Angeles County,County,CA,CA,6,37,645947.0,642768.0,639895.0,639231.0,643260.0,648833.0,649993.0,649972.0,649965.0,652599.0,654062.0,657017.0,single family
2841,4,San Diego County,County,CA,CA,6,73,611302.0,609034.0,607788.0,611010.0,614147.0,618776.0,622493.0,624499.0,624464.0,623945.0,625568.0,628442.0,single family
1286,5,Orange County,County,CA,CA,6,59,779766.0,777319.0,775241.0,774633.0,777780.0,780863.0,784906.0,785417.0,788540.0,789276.0,790265.0,790621.0,single family
2832,10,Riverside County,County,CA,CA,6,65,397780.0,398675.0,400536.0,401132.0,401310.0,401919.0,403000.0,403762.0,403467.0,404728.0,405501.0,408194.0,single family
3250,11,San Bernardino County,County,CA,CA,6,71,350829.0,351323.0,351949.0,352567.0,355007.0,356955.0,357957.0,358053.0,358334.0,359446.0,360797.0,362209.0,single family
3136,16,Santa Clara County,County,CA,CA,6,85,1215274.0,1192368.0,1174077.0,1170484.0,1167888.0,1163316.0,1153802.0,1146392.0,1149692.0,1152190.0,1158504.0,1165299.0,single family
1510,21,Alameda County,County,CA,CA,6,1,898261.0,892032.0,889361.0,890910.0,893908.0,898723.0,899638.0,896021.0,893206.0,891499.0,889892.0,893048.0,single family
3017,24,Sacramento County,County,CA,CA,6,67,373901.0,373490.0,373084.0,374887.0,378093.0,381687.0,383317.0,383991.0,385175.0,386452.0,388522.0,389801.0,single family
3159,36,Contra Costa County,County,CA,CA,6,13,633609.0,632300.0,631073.0,629913.0,632825.0,634870.0,634496.0,631349.0,626650.0,625890.0,626813.0,630237.0,single family
1018,45,Fresno County,County,CA,CA,6,19,265482.0,266090.0,267084.0,267589.0,267811.0,269148.0,270022.0,270969.0,270709.0,271753.0,272437.0,273492.0,single family
204,61,Kern County,County,CA,CA,6,29,223720.0,224939.0,225303.0,225140.0,226027.0,227633.0,228664.0,229456.0,229849.0,230494.0,231476.0,232414.0,single family
2061,62,Ventura County,County,CA,CA,6,111,623198.0,622507.0,623352.0,626734.0,628341.0,629095.0,628378.0,628255.0,627518.0,628534.0,629075.0,631815.0,single family
3227,65,San Francisco County,County,CA,CA,6,75,1482496.0,1478992.0,1475554.0,1467757.0,1473147.0,1476841.0,1484022.0,1478107.0,1473967.0,1478105.0,1488114.0,1505300.0,single family
2842,81,San Mateo County,County,CA,CA,6,81,1471275.0,1461827.0,1448485.0,1449214.0,1458120.0,1466832.0,1468534.0,1454495.0,1456020.0,1452467.0,1456678.0,1460412.0,single family
3134,86,San Joaquin County,County,CA,CA,6,77,379086.0,377449.0,379411.0,379409.0,381297.0,383274.0,384619.0,385677.0,384442.0,384021.0,384219.0,386488.0,single family
3033,124,Stanislaus County,County,CA,CA,6,99,324325.0,324829.0,324834.0,327161.0,327313.0,328812.0,328314.0,329435.0,329399.0,331531.0,333742.0,335764.0,single family
1396,136,Sonoma County,County,CA,CA,6,97,656085.0,646008.0,640655.0,639932.0,644968.0,651360.0,654589.0,654754.0,651053.0,650366.0,648203.0,648128.0,single family
1442,145,Tulare County,County,CA,CA,6,107,223909.0,223126.0,222767.0,223128.0,224290.0,224977.0,224643.0,224440.0,225045.0,226821.0,227807.0,228433.0,single family
3229,156,Santa Barbara County,County,CA,CA,6,83,680487.0,681487.0,679760.0,677159.0,675846.0,679985.0,683947.0,686173.0,685646.0,687283.0,689568.0,691299.0,single family
2444,160,Monterey County,County,CA,CA,6,53,602510.0,604611.0,605995.0,607792.0,607228.0,608600.0,608417.0,609557.0,608717.0,609372.0,610544.0,611848.0,single family
