
Crimes,Alameda ,Alpine ,Amador ,Butte ,Calaveras ,Colusa ,Contra Costa ,Del Norte,El Dorado ,Fresno ,Glenn ,Humboldt ,Imperial ,Inyo ,Kern ,Kings ,Lake ,Lassen ,Los Angeles,Madera ,Marin ,Mariposa ,Mendocino ,Merced ,Modoc ,Mono ,Monterey ,Napa ,Nevada,Orange ,Placer ,Plumas ,Riverside ,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin ,San Luis Obispo,San Mateo,Santa Barbara,Santa Cruz,Shasta ,Sierra ,Siskiyou ,Solano ,Sonoma ,Stanislaus ,Sutter ,Tehama ,Trinity ,Tulare ,Tuolumne ,Ventura ,Yolo ,Yuba 
Other Weapon,"1,879",4,19,214,24,17,971,5,75,991,13,127,168,19,"1,085",149,88,101,"9,891",125,93,10,95,223,6,19,264,82,63,"1,459",159,51,"1,654","1,615",26,"2,389","2,699","1,156","1,643",117,316,285,273,337,0,51,368,409,568,108,76,27,365,42,291,143,92
Hands  Fists  Feet,790,7,61,334,49,6,509,60,85,"1,459",36,205,237,39,"1,800",317,111,123,"9,894",416,159,53,105,792,27,21,386,435,108,"1,033",150,43,"1,630","1,106",48,"2,966","2,269",898,"1,122",268,428,450,345,87,0,76,373,771,"1,000",74,65,10,382,59,330,138,50
Property Crimes,"66,731",32,670,"5,322",838,347,"28,555",804,"2,559","23,195",526,"3,926","3,476",393,"29,604","2,466","1,228",419,"224,192","2,693","5,443",182,"1,255","6,898",66,187,"7,735","2,162","1,191","59,186","6,138",314,"57,986","36,224",472,"47,416","55,233","50,012","21,409","5,119","16,272","7,307","7,005","2,413",31,636,"13,161","6,760","14,274","2,447","1,623",237,"10,625","1,074","12,634","6,644","1,844"
Burglary,"6,516",13,178,"1,111",297,109,"3,580",251,629,"4,694",109,796,769,115,"7,595",410,379,145,"37,987",682,"1,001",53,357,"1,418",20,38,"1,524",395,329,"8,529",992,116,"10,289","6,611",96,"9,979","7,694","4,685","3,771",995,"2,222","1,269","1,039",630,15,161,"3,727","1,228","2,628",398,436,83,"2,025",375,"1,946",925,405
Means of Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forcible Entry,"4,852",5,85,608,171,60,"2,379",235,408,"3,910",86,407,374,65,"5,728",250,161,84,"28,659",444,538,28,174,952,14,13,909,111,181,"5,909",607,64,"7,348","4,452",67,"7,367","4,369","2,329","2,672",626,"1,294",727,657,518,2,103,"2,505",402,"1,838",222,229,68,"1,482",215,"1,242",546,252
No Force,"1,664",8,93,503,126,49,"1,201",16,221,784,23,389,395,50,"1,867",160,218,61,"9,328",238,463,25,183,466,6,25,615,284,148,"2,620",385,52,"2,941","2,159",29,"2,612","3,325","2,356","1,099",369,928,542,382,112,13,58,"1,222",826,790,176,207,15,543,160,704,379,153
Location / Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residence,"3,295",8,83,696,141,42,"1,871",15,360,"2,632",53,462,251,64,"3,058",237,227,78,"19,136",289,378,42,156,706,18,9,698,129,150,"3,790",484,68,"5,268","3,517",52,"4,691","3,934","1,720","1,631",380,814,622,411,423,12,93,"1,002",545,"1,296",189,231,22,"1,022",198,"1,008",421,245
Night,950,1,12,160,40,15,570,0,93,"1,037",23,137,70,16,741,78,61,1,"5,321",82,91,5,45,234,6,3,179,23,29,973,140,15,"1,328","1,133",18,"1,072",905,773,419,83,288,156,143,81,2,19,302,129,441,27,62,4,314,47,294,154,43
Day,"1,539",3,29,353,59,17,866,15,88,"1,110",30,210,109,34,"1,106",103,122,2,"8,167",92,194,12,49,218,8,4,336,56,43,"1,452",163,53,"1,776","1,756",19,"1,639","1,185",945,640,135,439,277,130,179,0,8,560,208,450,61,104,9,307,77,426,136,80
Unknown,806,4,42,183,42,10,435,0,179,485,0,115,72,14,"1,211",56,44,75,"5,648",115,93,25,62,254,4,2,183,50,78,"1,365",181,0,"2,164",628,15,"1,980","1,844",2,572,162,87,189,138,163,10,66,140,208,405,101,65,9,401,74,288,131,122
Non-Residence,"3,221",5,95,415,156,67,"1,709",236,269,"2,062",56,334,518,51,"4,537",173,152,67,"18,851",393,623,11,201,712,2,29,826,266,179,"4,739",508,48,"5,021","3,094",44,"5,288","3,760","2,965","2,140",615,"1,408",647,628,207,3,68,"2,725",683,"1,332",209,205,61,"1,003",177,938,504,160
Night,"1,603",0,29,141,48,28,884,75,130,"1,238",29,148,167,19,"1,721",60,54,0,"8,516",189,249,5,107,358,0,8,455,72,83,"1,893",244,3,"2,296","1,685",30,"2,222","1,559","1,910",887,238,710,197,344,49,0,24,"1,201",191,763,43,92,16,371,53,454,201,56
Day,881,3,40,193,82,25,504,161,39,580,23,123,201,27,823,59,76,6,"5,215",102,292,1,36,200,1,16,230,122,48,"1,037",92,45,992,"1,009",10,"1,078",645,"1,051",485,145,589,216,99,96,2,5,"1,296",212,262,57,72,36,280,87,161,111,30
Unknown,737,2,26,81,26,14,321,0,100,244,4,63,150,5,"1,993",54,22,61,"5,120",102,82,5,58,154,1,5,141,72,48,"1,809",172,0,"1,733",400,4,"1,988","1,556",4,768,232,109,234,185,62,1,39,228,280,307,109,41,9,352,37,323,192,74
Motor Vehicle Theft,"10,267",4,37,868,69,56,"4,599",47,146,"3,483",83,535,471,18,"5,883",394,266,42,"37,429",416,420,5,162,"1,391",8,11,"1,649",189,177,"6,701",541,23,"10,248","5,397",93,"9,081","9,681","4,284","3,078",324,"1,522","1,046",828,581,0,93,"2,065",566,"2,491",352,254,32,"1,845",101,"1,234",587,475
Automotive,"9,207",3,15,624,36,27,"3,372",26,83,"2,574",40,311,333,11,"4,192",194,155,26,"23,338",303,270,2,138,"1,047",6,5,"1,229",89,107,"4,873",377,17,"6,262","4,025",64,"6,910","7,601","3,075","1,879",175,"1,138",743,623,463,0,68,"1,353",376,"1,828",237,135,28,"1,146",53,822,409,356
Trucks and Buses,723,1,8,139,23,16,953,8,21,664,13,166,67,3,"1,223",148,62,4,"11,826",68,105,1,10,247,2,2,330,95,34,"1,268",98,4,"2,659",993,14,"1,597","1,060",398,946,55,246,114,140,86,0,9,499,137,502,73,77,2,550,27,308,88,81
Other,337,0,14,105,10,13,274,13,42,245,30,58,71,4,468,52,49,12,"2,265",45,45,2,14,97,0,4,90,5,36,560,66,2,"1,327",379,15,574,"1,020",811,253,94,138,189,65,32,0,16,213,53,161,42,42,2,149,21,104,90,38
Larceny-Theft,"49,948",15,455,"3,343",472,182,"20,376",506,"1,784","15,018",334,"2,595","2,236",260,"16,126","1,662",583,232,"148,776","1,595","4,022",124,736,"4,089",38,138,"4,562","1,578",685,"43,956","4,605",175,"37,449","24,216",283,"28,356","37,858","41,043","14,560","3,800","12,528","4,992","5,138","1,202",16,382,"7,369","4,966","9,155","1,697",933,122,"6,755",598,"9,454","5,132",964
Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocket-Picking,"1,307",0,2,7,3,0,157,0,12,32,0,9,4,0,71,9,1,1,"1,142",5,26,0,3,15,0,1,12,2,6,599,43,0,348,31,3,346,110,"1,161",33,9,132,16,14,1,0,0,40,17,17,2,3,0,16,0,47,12,0
